"length","type","comblength","height","probability"
14,"FullHouse",5,13,0.002634653762240076
8,"Straight",5,5,0.0005501178824033722
13,"Straight",8,9,0.0028890024133739673
13,"Straight",6,8,0.007187274296686455
13,"Straight",7,9,0.005132089653026113
13,"Straight",6,7,0.006206657623854235
13,"Straight",7,8,0.004286527971063
13,"Straight",5,7,0.009999941280438752
13,"Straight",5,6,0.008672879196246645
13,"PairSteps",2,11,0.004820875978414689
14,"FullHouse",5,2,0.002977944597822378
14,"Trio",3,2,0.0030337810590315476
8,"Pair",2,14,0.012388368936200614
8,"Single",1,14,0.05300421518896906
7,"Straight",5,10,0.004414897712980313
13,"FullHouse",5,10,0.002871386544999736
13,"PairSteps",2,10,0.004844363802913664
13,"Trio",3,10,0.002941850018496662
13,"PairSteps",2,4,0.004961802925408541
10,"Trio",3,7,0.003330328908171527
10,"Pair",2,12,0.01362685039490368
10,"Pair",2,7,0.013076887822912052
10,"FullHouse",5,7,0.0030706243602865915
10,"Single",1,12,0.03455598160680731
10,"Straight",5,13,0.007302280816999954
11,"PairSteps",2,5,0.003976682181752451
11,"Pair",2,5,0.01333092322292015
11,"Trio",3,5,0.00377332911564011
11,"Single",1,0,0.012540105743594378
11,"FullHouse",5,5,0.0035812734420895657
8,"Single",1,6,0.05026791455311853
14,"Trio",3,4,0.002690490223449246
14,"FullHouse",5,4,0.002651197898894645
12,"Straight",6,8,0.007074509441660316
12,"StraightBomb",5,8,0.00031562011654850155
12,"Trio",3,7,0.003464123230410383
12,"Pair",2,7,0.012255298184029623
12,"FullHouse",5,7,0.0033486524560633704
12,"Straight",7,9,0.004934451090429013
12,"StraightBomb",6,9,0.00010777272272387858
12,"Straight",5,7,0.010161428142537125
12,"StraightBomb",5,9,0.00033101621979476995
3,"Pair",2,10,0.017548321464903358
3,"Single",1,10,0.04840623940318752
9,"Single",1,3,0.03422693382176093
9,"Single",1,12,0.037464616750846426
9,"Pair",2,9,0.01457882370353925
9,"Single",1,13,0.039499731734843016
9,"Single",1,10,0.04203437494218423
5,"Pair",2,11,0.021758203193542727
5,"Single",1,11,0.05084225302684681
10,"Straight",5,12,0.008279992056096183
10,"Straight",7,12,0.0032539452176171342
10,"Straight",6,12,0.005453795505583648
5,"FullHouse",5,2,0.0028513774346376557
5,"Single",1,2,0.042682926829268296
5,"Pair",2,14,0.02048605018424285
5,"Pair",2,2,0.016055448324267415
5,"Trio",3,2,0.005571152833830496
4,"Pair",2,6,0.012109920819748486
4,"Single",1,6,0.03247055692328166
4,"Single",1,15,0.03227094284383525
4,"Single",1,1.5,0.02315523321578282
11,"FullHouse",5,14,0.0016833114917077139
11,"Pair",2,14,0.011455556057661891
11,"Single",1,15,0.01080030728907768
11,"Trio",3,14,0.0018414749875728682
11,"Single",1,11,0.03356455330109811
10,"Straight",9,14,0.0005346858338807497
10,"Straight",9,13,0.0007638369055439283
10,"Straight",5,14,0.004949663147924655
10,"Straight",7,11,0.0034678195511694343
10,"Straight",8,12,0.0016040575016422493
10,"Straight",8,13,0.0017109946684183994
10,"Straight",7,14,0.0023067874547426635
10,"Straight",8,14,0.0013137994775355567
10,"Straight",6,13,0.004995493362257291
10,"Straight",7,13,0.0031775615270627417
10,"Straight",6,14,0.003651140408499977
8,"Straight",6,9,0.0014717439451310994
8,"Straight",7,10,0.0004358076730728013
8,"Straight",6,10,0.0014217332285489748
8,"Straight",7,11,0.00046438522540544403
8,"Straight",5,8,0.003472172608416089
8,"Straight",5,9,0.0035507608773308564
14,"SquareBomb",4,11,0.00017164541779115096
10,"Straight",8,9,0.0016804411921966422
10,"Straight",6,8,0.005805160482133855
10,"Straight",6,9,0.006538443911456026
10,"Straight",7,9,0.0036205869322782198
10,"Straight",6,7,0.004903832933592019
10,"Straight",7,8,0.002948410455399563
10,"Straight",5,8,0.009975709986403703
10,"Straight",5,7,0.008891061580531325
8,"Pair",2,8,0.01202400514395942
8,"Pair",2,10,0.013138529684932485
8,"Pair",2,2,0.011988283203543617
14,"SquareBomb",4,14,0.00018198550320025643
14,"FullHouse",5,14,0.002175553970075793
14,"Trio",3,14,0.002223118362957678
14,"Trio",3,12,0.0025333209252308424
14,"FullHouse",5,12,0.002506436703167168
5,"Single",1,5,0.03671696788910335
5,"Pair",2,5,0.012502193367257414
5,"Trio",3,5,0.0033777855764169154
12,"PairSteps",2,12,0.0042108342378543995
12,"PairSteps",3,12,0.0010700291756156517
12,"PairSteps",2,3,0.005627275736511089
12,"Straight",6,13,0.006119951040391677
12,"Straight",7,13,0.004226230341100668
12,"Straight",6,12,0.006766587376734948
5,"FullHouse",5,11,0.00162309177048605
5,"Trio",3,11,0.0036848569924548165
3,"Single",1,1.5,0.029840623940318754
8,"FullHouse",5,10,0.0012216903622204757
8,"Pair",2,6,0.01170965206830035
8,"Trio",3,10,0.001836107737372294
4,"Pair",2,11,0.021624858606693727
4,"Single",1,14,0.08956018364495309
4,"Single",1,11,0.056357708430367956
9,"Pair",2,13,0.016595437642226787
9,"Pair",2,8,0.01456032265823019
9,"PairSteps",2,8,0.0036262048805757526
9,"Pair",2,7,0.01413479861612181
9,"Pair",2,3,0.013986790253649331
5,"Pair",2,9,0.016669591156343217
2,"Single",1,14,0.13466449965172975
2,"Single",1,1.5,0.03668446714650569
12,"Straight",8,13,0.0026866200164738304
12,"Straight",7,14,0.003417934920671578
12,"Straight",8,14,0.0023171135385633896
12,"PairSteps",3,8,0.0009083700915298338
12,"PairSteps",2,9,0.004403285528432754
12,"Straight",10,14,0.0007236168525746134
12,"PairSteps",2,7,0.004079967360261118
12,"Straight",9,14,0.0014395356535260927
12,"Straight",9,13,0.001539610324626837
12,"Straight",7,11,0.005026827709906622
12,"Straight",8,12,0.0028867693586753194
12,"Straight",7,12,0.004588038767387974
1,"Single",1,7,0.05404823428079242
4,"Single",1,12,0.061946902654867256
4,"Pair",2,12,0.022556390977443608
4,"Pair",2,10,0.019296027679819017
4,"Single",1,10,0.04677623261694058
9,"Straight",5,12,0.007381917078314925
9,"Straight",5,11,0.008417975615622283
9,"Straight",5,10,0.008343971434386043
9,"Straight",6,11,0.004273741466392852
